,sub_pid,client_property_id,account,actions,costs,sqm,rental_units,year_construction,year_last_renovation,roof,windows,face_of_building,heating,main_type_of_use,vacancy_rate
1,1_00,3212,5001,WEG-Wohngeld,221710.38,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
2,1_00,3212,5200,Instandhaltungskosten,632.14,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
3,1_00,3212,5201,Strom / Gas Leerstand,14294.19,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
4,1_00,3212,5205,Eigenleistungen Mieter,21.87,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
5,1_00,3212,5220,"Maurer, Putz, Fliesenarb.",934.34,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
6,1_00,3212,5250,Sanitärinstallation,2222.95,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
7,1_00,3212,5260,Zargen / Türen,448.68,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
8,1_00,3212,5270,Schlösser / Schlüssel,446.12,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
9,1_00,3212,5280,Malerarbeiten,1216.89,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
10,1_00,3212,5310,Elektroarbeiten,600.67,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
11,1_00,3212,5350,Klingeln,453.5,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
12,1_00,3212,5360,Heizkörper / WMZ,1089.88,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
13,1_00,3212,5370,Notöffnungen,285.54,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
14,1_00,3212,5390,Sperrmüll-Inst.,276.5,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
15,1_00,3212,5700,Capex Innen (Mod.innerh.d.Wohnung),5004.83,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
16,1_00,3213,5001,WEG-Wohngeld,9911.48,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
17,1_00,3213,5205,Eigenleistungen Mieter,261.8,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
18,1_00,3213,5250,Sanitärinstallation,750.07,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
19,1_00,3213,5420,Schädlingsbekämpfg.-Inst.,114.6,2624,53,1968,1994,double pitch roof,pvc,finery,other,residential,35
20,10_00,3001,5001,WEG-Wohngeld,178711.54,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
21,10_00,3001,5200,Instandhaltungskosten,144,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
22,10_00,3001,5201,Strom / Gas Leerstand,112.43,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
23,10_00,3001,5220,"Maurer, Putz, Fliesenarb.",791.6,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
24,10_00,3001,5235,Rolladen,367.3,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
25,10_00,3001,5250,Sanitärinstallation,815.77,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
26,10_00,3001,5260,Zargen / Türen,361.6,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
27,10_00,3001,5270,Schlösser / Schlüssel,168.18,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
28,10_00,3001,5280,Malerarbeiten,196.5,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
29,10_00,3001,5290,Fußbodenarbeiten,106.5,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
30,10_00,3001,5300,Fenster / Glaserarbeiten,141,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
31,10_00,3001,5310,Elektroarbeiten,130.28,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
32,10_00,3001,5360,Heizkörper / WMZ,248.2,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
33,10_00,3001,5450,Dachdecker,15989.59,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
34,10_00,3001,5600,Nicht umlegb. HM-Kosten,2346.5,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
35,10_00,3001,5700,Capex Innen (Mod.innerh.d.Wohnung),1680.67,1304,21,1996,NA,other,pvc,finery,district heating,residential,10
36,101_00,3153,5200,Instandhaltungskosten,108.75,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
37,101_00,3153,5201,Strom / Gas Leerstand,8365.57,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
38,101_00,3153,5202,IH Gasgeräte,6471.15,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
39,101_00,3153,5205,Eigenleistungen Mieter,451.91,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
40,101_00,3153,5220,"Maurer, Putz, Fliesenarb.",5800.43,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
41,101_00,3153,5230,Fassaden,285,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
42,101_00,3153,5235,Rolladen,147.65,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
43,101_00,3153,5240,Zimmererarb./Holzschutz,677.8,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
44,101_00,3153,5250,Sanitärinstallation,10883.35,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
45,101_00,3153,5251,Reparatur Gasversorgung,81.36,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
46,101_00,3153,5260,Zargen / Türen,1929.34,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
47,101_00,3153,5270,Schlösser / Schlüssel,709.85,18882,396,1978,1992,flat,pvc,finery,district heating,residential,51
